0x4103d0	AbstractClass_Load_ClearExtensionSlot
0x41cd82	AircraftTypeClass_LoadFromINI
0x41ce7e	AircraftTypeClass_Load
0x41d056	AircraftTypeClass_DTOR
0x41d604	AirstrikeClass_PointerGotInvalid_ResetForTarget
0x41d97b	AirstrikeClass_Fire_SetAirstrike
0x41da52	AirstrikeClass_ResetTarget_OriginalTarget
0x41da80	AirstrikeClass_ResetTarget_NewTarget
0x41daa4	AirstrikeClass_ResetTarget_ResetForOldTarget
0x41dad4	AirstrikeClass_ResetTarget_ResetForNewTarget
0x41dbd4	AirstrikeClass_Stop_ResetForTarget
0x41eb43	AITriggerTypeClass_Condition_SupportPowersup
0x421ea0	AnimClass_CTOR_SetContext
0x422126	AnimClass_CTOR_NullType
0x4226f0	AnimClass_CTOR_CreateUnit_MarkOccupationBits
0x4226f6	AnimClass_CTOR
0x42276d	AnimClass_CTOR_ClearD0
0x422967	AnimClass_DTOR
0x423061	AnimClass_DrawIt_Visibility
0x423122	AnimClass_DrawIt_XDrawOffset
0x423183	AnimClass_DrawIt_Translucency
0x4232bf	AnimClass_DrawIt_MakeInfantry
0x4232e2	AnimClass_DrawIt_AltPalette
0x423365	AnimClass_DrawIt_ExtraShadow
0x423420	AnimClass_Draw_TintColor
0x423654	AnimClass_DrawIt_Tiled_Interval
0x423660	AnimClass_DrawIt_Tiled_Center
0x4236f0	AnimClass_DrawIt_Tiled_Palette
0x423855	AnimClass_DrawIt_ShadowLocation
0x423939	AnimClass_BounceAI_AttachedSystem
0x423b95	AnimClass_AI_Early
0x423bc8	AnimClass_AI_CreateUnit_MarkOccupationBits
0x423cc7	AnimClass_AI_HasExtras_Expired
0x4242e1	AnimClass_AI_TrailerAnim
0x4243bc	AnimClass_Update_VeinholeAttack
0x42453e	AnimClass_AI_Damage
0x42465d	AnimClass_AI_NullTypeCheck
0x424807	AnimClass_AI_Next
0x424932	AnimClass_AI_CreateUnit_ActualEffects
0x424c3d	AnimClass_AttachTo_AttachedAnimPosition
0x424cb0	AnimClass_InWhichLayer_AttachedObjectLayer
0x424cf1	AnimClass_Start_DetachedReport
0x425060	AnimClass_Expire_ScorchFlamer
0x4250e1	AnimClass_Middle_CraterDestroyTiberium
0x425174	AnimClass_Detach_Cloak
0x426598	AnimClass_SDDTOR
0x42784b	AnimTypeClass_CTOR
0x4287dc	AnimTypeClass_LoadFromINI
0x428ea8	AnimTypeClass_SDDTOR
0x42eb8e	BaseClass_GetBaseNodeIndex_CheckValidBaseNode
0x430c64	BeaconManagerClass_PlaceBeacon_RecordOrder
0x43131b	BeaconManagerClass_DeleteBeacon_RecordOrder
0x4381da	BlowPipe_Key_BlowfishEngine_Allocation
0x43830a	BlowStraw_Key_BlowfishEngine_Allocation
0x43878e	BombClass_Detonate_SetContext
0x4387a8	BombClass_Detonate_ExplosionAnimHandled
0x43b750	BuildingClass_CTOR
0x43c0b6	BuildingClass_DTOR
0x43c30a	BuildingClass_ReceiveMessage_Grinding
0x43c788	BuildingClass_ReceivedRadioCommand_Weeder_CompleteEnter
0x43cc73	BuildingClass_ReceiveMessage_ProductionAnim
0x43d386	BuildingClass_Draw_TintColor
0x43d6e5	BuildingClass_Draw_ZShapePointMove
0x43d874	BuildingClass_Draw_BuildupBibShape
0x43dc1c	BuildingClass_Draw2_TintColor
0x43e0c4	BuildingClass_Draw_VXLTurretMultiOffset
0x43f9e0	BuildingClass_Mark_Airstrike
0x43fa19	BuildingClass_Mark_TintIntensity
0x43fb23	BuildingClass_AI_Radiation
0x43fbef	BuildingClass_AI_PoweredKillSpawns
0x43fdd6	BuildingClass_AI_Airstrike
0x43fe69	BuildingClass_AI
0x440045	BuildingClass_UpdateDelayedFiring_PrefiringMark1
0x4400f9	BuildingClass_AI_UpdateOverpower
0x4401bb	BuildingClass_AI_PickWithFreeDocks
0x4403d4	BuildingClass_AI_ChronoSparkle
0x44043d	BuildingClass_AI_Temporaled_Chronosparkle_MuzzleFix
0x440580	BuildingClass_Unlimbo_UnitDeliveryFix
0x440842	BuildingClass_Unlimbo_DynamicSight
0x4408eb	BuildingClass_Unlimbo_UpgradeBuildings
0x440988	BuildingClass_Unlimbo_UpgradeAnims
0x440b4f	BuildingClass_Unlimbo_SetShouldRebuild
0x440d01	BuildingClass_Unlimbo_DestroyableObstacle
0x440ebb	BuildingClass_Unlimbo_NaturalParticleSystem_CampaignSkip
0x441053	BuildingClass_Unlimbo_EWGate
0x4410e1	BuildingClass_Unlimbo_NSGate
0x441501	BuildingClass_Unlimbo_FactoryPlant
0x441553	BuildingClass_Unlimbo_AddOwned
0x441c76	BuildingClass_Destroy_Explode_RubbleFix
0x44224f	BuildingClass_ReceiveDamage_DamageSelf
0x442290	BuildingClass_ReceiveDamage_Nonprovocative1
0x44242a	BuildingClass_ReceiveDamage_SetLATime
0x4425b6	BuildingClass_ReceiveDamage_NoDestroyLink
0x442956	BuildingClass_ReceiveDamage_Nonprovocative2
0x442f9b	BuildingClass_DestroyedByC4_LeaveBioReactor
0x443459	BuildingClass_ObjectClickedAction_DeployFire
0x44377e	BuildingClass_ActiveClickWith
0x4437b3	BuildingClass_CellClickedAction_NoManualMove
0x4438b4	BuildingClass_SetRallyPoint_Naval
0x443b90	BuildingClass_AssignTarget_SyncLog
0x443c81	BuildingClass_ExitObject_InitialClonedHealth
0x443cca	BuildingClass_KickOutUnit_AircraftType_Phobos
0x443fc7	BuildingClass_ExitObject_PoseDir1
0x44402e	BuildingClass_ExitObject_PoseDir2
0x4440b0	BuildingClass_KickOutUnit_CloningFacility
0x444113	BuildingClass_ExitObject_NavalProductionFix1
0x444119	BuildingClass_KickOutUnit_UnitType_Phobos
0x444131	BuildingClass_KickOutUnit_InfantryType_Phobos
0x444137	BuildingClass_ExitObject_NavalProductionFix2
0x4444a0	BuildingClass_KickOutUnit_NoKickOutInConstruction
0x44459a	BuildingClass_ExitObject_SubterraneanHarvester
0x4449fb	BuildingClass_KickOutUnit_CloningVats
0x444b83	BuildingClass_ExitObject_BarracksExitCell
0x444d11	BuildingClass_ExitObject_ProductionAnimForInfantryFactory
0x4451f8	BuildingClass_KickOutUnit_CleanUpAIBuildingSpace
0x44531f	BuildingClass_KickOutUnit_BuildingType_Phobos
0x445d87	BuildingClass_Limbo_DestroyableObstacle
0x445f04	BuildingClass_SelectAutoTarget_MultiWeapon
0x445fe4	BuildingClass_Place_RefineryActiveAnim
0x44643e	BuildingClass_Place_SuperAnim
0x446816	BuildingClass_Place_RevealToAll_UpdateSight
0x446bf4	BuildingClass_Place_FreeUnit_NearByLocation
0x446d42	BuildingClass_Place_FreeUnit_NearByLocation2
0x446ead	BuildingClass_GrandOpening_FreeWeeder_Mission
0x446f57	BuildingClass_GrandOpening_PoseDir_SetContext
0x447358	BuildingClass_MouseOverObject_DeployFire
0x447be3	BuildingClass_DockingCoord_TankBunker
0x447fed	BuildingClass_CanFire_OmniFire
0x4485db	BuildingClass_SetOwningHouse_SyncLinkedOwner
0x448a31	BuildingClass_Captured_FactoryPlant1
0x448a78	BuildingClass_SetOwningHouse_RemoveOwned
0x448df1	BuildingClass_SetOwningHouse_Airstrike
0x449149	BuildingClass_Captured_FactoryPlant2
0x449197	BuildingClass_SetOwningHouse_AddOwned
0x44939f	BuildingClass_Captured_BuildupFix
0x449462	BuildingClass_IsCellOccupied_UndeploysInto
0x44955d	BuildingClass_WeaponFactoryOutsideBusy_WeaponFactoryCell
0x4496fb	BuildingClass_Mission_Guard_Armed
0x44985b	BuildingClass_Mission_Guard_UnitReload
0x449ada	BuildingClass_MissionConstruction_DeployToFireFix
0x449afe	BuildingClass_Mission_Construction_StartFacing
0x449cc1	BuildingClass_Mi_Selling_EVASold_UndeploysInto
0x449daa	BuildingClass_Mission_Selling_StartFacing_Compare
0x449de9	BuildingClass_Mission_Selling_StartFacing_Set
0x449e2e	BuildingClass_Mi_Selling_CreateUnit
0x44a010	BuildingClass_Mission_Selling_SetUnitHealthPercentage
0x44a03c	BuildingClass_Mi_Selling_Transfer
0x44a541	BuildingClass_Mission_Selling_LeaveBioReactor
0x44a7cf	BuildingClass_Mi_Selling_PlaySellSound
0x44a8e5	BuildingClass_Mi_Selling_SetTarget
0x44a964	BuildingClass_Mi_Selling_VoiceDeploy
0x44ab22	BuildingClass_Mi_Selling_EVASold_Plug
0x44b214	BuildingClass_Mission_Attack_Gattling
0x44b630	BuildingClass_MissionAttack_AnimDelayedFire
0x44b6c7	BuildingClass_Mission_Attack_TurretAnim
0x44b7ae	BuildingClass_Mission_Repair_ProductionAnim
0x44b8f1	BuildingClass_Mission_Repair_Hospital
0x44bd38	BuildingClass_Mission_Repair_UnitRepair
0x44c836	BuildingClass_Mission_Repair_UnitReload
0x44c976	BuildingClass_Mission_Repair_TankBunker
0x44caba	BuildingClass_Mission_Missile_BulletParams
0x44ceec	BuildingClass_Mission_Missile_EMPulseSelectWeapon
0x44d074	BuildingClass_Mission_Missile_ApplyGravity
0x44d455	BuildingClass_Mission_Missile_EMPulseBulletWeapon
0x44d46e	BuildingClass_Mission_Missile_BeforeMoveTo
0x44dbcf	BuildingClass_Mission_Unload_LeaveBioReactor
0x44dcb1	BuildingClass_Mi_Unload_NoQueueUpToUnload
0x44e202	BuildingClass_Mission_Unload_CheckStuck
0x44e260	BuildingClass_Mission_Unload_KickOutStuckUnits
0x44e371	BuildingClass_Mission_Unload_DeployFire
0x44e826	BuildingClass_GetPowerOutput_Enhancer
0x44e910	BuildingClass_PointerExpired_C4ExpFix
0x44efd8	BuildingClass_FindExitCell_BarracksExitCell
0x44f62b	BuildingClass_CanPlayerMove_NoManualMove
0x44fbbf	CreateBuildingFromINIFile_AfterCTOR_BeforeUnlimbo
0x4502f4	BuildingClass_Update_Factory_Phobos
0x450319	BuildingClass_AI_Factory_NavalProductionFix
0x45063f	BuildingClass_UpdateRepairSell_PlayerAutoRepair
0x450daa	BuildingClass_UpdateAnimations_RefineryActiveAnim
0x451033	BuildingClass_AnimationAI_SuperAnim
0x4511d6	BuildingClass_AnimationAI_SellBuildup
0x451242	BuildingClass_AnimationAI_TurretAnim
0x451630	BuildingClass_CreateUpgradeAnims_AnimIndex
0x45189d	BuildingClass_AnimUpdate_Upgrades
0x4519a2	BuildingClass_UpdateAnim_SetParentBuilding
0x451abc	BuildingClass_PlayAnim_Airstrike
0x452041	BuildingClass_452000_Airstrike
0x452678	BuildingClass_CanUpgrade_UpgradeBuildings
0x45387a	BuildingClass_FireOffset_Replace_MuzzleFix
0x454174	BuildingClass_Load_LightSource
0x45455b	BuildingClass_VisualCharacter_CloakVisibility
0x4555e4	BuildingClass_IsPowerOnline_Overpower
0x455d50	BuildingClass_AssignDestination_SyncLog
0x45670d	BuildingClass_GetRadialIndicatorRange_Extras
0x456776	BuildingClass_DrawRadialIndicator_Visibility
0x456e5a	BuildingClass_Flash_Airstrike
0x457855	BuildingClass_IsReadyToCloak_Sensors
0x4579a5	BuildingClass_ShouldNotCloak_Sensors
0x458060	BuildingClass_ClearOccupants_Redraw
0x458180	BuildingClass_RemoveOccupants_CheckWhenNoPlaceToUnload
0x458623	BuildingClass_KillOccupiers_Replace_MuzzleFix
0x459069	BuildingClass_UpdateTankBunker_CheckOccupants
0x459101	BuildingClass_UpdateTankBunker_RotateToTrack
0x4593c7	BuildingClass_DestroyTankBunker
0x459494	BuildingClass_BunkerSound
0x4596ec	BuildingClass_UnloadTankBunker
0x45e50c	BuildingTypeClass_CTOR
0x45e732	BuildingTypeClass_DTOR
0x45ef3a	BuildingTypeClass_FlushForPlacement_BuildableTerrain
0x460285	BuildingTypeClass_LoadFromINI_Muzzle
0x464749	BuildingTypeClass_ReadINI_PowerUpAnims
0x464a49	BuildingTypeClass_LoadFromINI
0x465d40	BuildingTypeClass_IsVehicle
0x4664ba	BulletClass_CTOR
0x466556	BulletClass_Init
0x4665e9	BulletClass_DTOR
0x4666f7	BulletClass_AI
0x466897	BulletClass_AI_Trailer
0x4668bd	BulletClass_AI_Interceptor_InvisoSkip
0x46703e	BulletClass_AI_SkipBridgeCheck1
0x4671b9	BulletClass_AI_ApplyGravity
0x46745c	BulletClass_AI_Position_Trajectories
0x4674d4	BulletClass_AI_SkipBridgeCheck2
0x4677d3	BulletClass_AI_TargetCoordCheck_Trajectories
0x467927	BulletClass_AI_TechnoCheck_Trajectories
0x467ab2	BulletClass_AI_Parabomb
0x467b8e	BulletClass_AI_Ranged
0x467cca	BulletClass_AI_TargetSnapChecks
0x467e53	BulletClass_AI_PreDetonation_Trajectories
0x4683f2	BulletClass_Draw_ZAdjust
0x468503	BulletClass_PointerExpired_OwnerFix
0x4687f8	BulletClass_Unlimbo_FlakScatter
0x4688a9	BulletClass_Unlimbo_Obstacles
0x468b72	BulletClass_Unlimbo_Trajectories
0x468c86	BulletClass_ShouldExplode_Obstacles
0x468d3f	BulletClass_ShouldExplode_AirTarget
0x468e61	BulletClass_Explode_TargetSnapChecks1
0x468e9f	BulletClass_Explode_TargetSnapChecks2
0x468eb3	BulletClass_Explodes_AirburstCheck1
0x468ff4	BulletClass_Explodes_AirburstCheck2
0x46902c	BulletClass_Explode_Cluster
0x4690c1	BulletClass_Logics_DetonateOnAllMapObjects
0x4690d4	BulletClass_Logics_NewChecks
0x469150	BulletClass_Detonate_ApplyRadiation
0x46920b	BulletClass_Detonate
0x4692bd	BulletClass_Logics_ApplyMindControl
0x469453	BulletClass_Logics_TemporalUnderGround
0x46954c	BulletClass_Logics_IsLocomotor_Bunker
0x4696ce	BulletClass_Detonate_ImbueLocomotor
0x469a75	BulletClass_Logics_DamageHouse
0x469aa4	BulletClass_Logics_Extras
0x469b44	BulletClass_Logics_LandTypeCheck
0x469c46	BulletClass_Logics_DamageAnimSelected
0x469d1a	BulletClass_Logics_Debris
0x469ec0	BulletClass_Logics_AirburstWeapon
0x46a3d6	BulletClass_Shrapnel_Forced
0x46a4fb	BulletClass_Shrapnel_Targeting
0x46ade0	BulletClass_ApplyRadiation_Unused
0x46b0e1	BulletClass_DrawAVXL_LightingFix
0x46b19b	BulletClass_DrawVoxel_GetLightConvert
0x46b212	BulletClass_DrawVoxel_SetLightConvert
0x46b23c	BulletClass_DrawVoxel_SetLightConvert2
0x46b3e6	BulletClass_NukeMaker_BulletParams
0x46bdd9	BulletTypeClass_CTOR
0x46c41c	BulletTypeClass_LoadFromINI
0x46c8b6	BulletTypeClass_SDDTOR
0x471c90	CaptureManagerClass_CanCapture
0x471d40	CaptureManagerClass_CaptureUnit
0x471ff0	CaptureManagerClass_FreeUnit
0x4721e6	CaptureManagerClass_DrawLinkToVictim
0x4722aa	CaptureManagerClass_CannotControlAnyMore_ControlledCount
0x4726c7	CaptureManagerClass_IsOverloading_ControlledCount
0x474230	CCINIClass_Load_Inheritance
0x478e10	CCToolTip_Draw1
0x478e30	CCToolTip_Draw2
0x478e4a	CCToolTip_Draw2_SetSurface
0x478ee1	CCToolTip_Draw2_SetBuffer
0x478ef8	CCToolTip_Draw2_SetMaxWidth
0x478f52	CCToolTip_Draw2_SetX
0x478f77	CCToolTip_Draw2_SetY
0x478fdc	CCToolTip_Draw2_FillRect
0x479029	CCToolTip_Draw2_SetPadding
0x47bb60	CellClass_DTOR
0x47bda1	CellClass_CTOR
0x47c065	CellClass_CellColor_TerrainRadarColor
0x47c210	CellClass_CellColor_TiberiumRadarColor
0x47c640	CellClass_CanThisExistHere_IgnoreSomething
0x47da74	CellClass_RecalcAttributes_TileAnimDrawer
0x47eaf7	CellClass_RemoveContent_BeforeUnmarkOccupationBits
0x47efae	CellClass_Draw_It_SetPlacementGridTranslucency
0x47f71d	CellClass_DrawOverlay_ZAdjust
0x47f974	CellClass_DrawOverlay_Walls
0x480552	CellClass_AttachesToNeighbourOverlay_Gate
0x480ea8	CellClass_DamageWall_AdjacentWallDamage
0x481778	CellClass_ScatterContent_Scatter
0x481bb8	CellClass_GoodieCheck_FreeMCV
0x481c27	CellClass_GoodieCheck_UnitCrateVehicleCap
0x481f9d	CellClass_SpringCrate_RevealMap
0x4821bd	CellClass_GoodieCheck_CrateGoodie
0x4834e5	CellClass_IsClearToMove_BridgeEdges
0x483811	CellClass_SpreadTiberium_TiberiumType
0x48381d	CellClass_SpreadTiberium_CellSpread
0x4839f0	CellClass_SaveLoad_Prefix
0x483c00	CellClass_Load_Suffix
0x483c79	CellClass_Save_Suffix
0x483d8e	CellClass_CheckPassability_DestroyableObstacle
0x483ddf	CellClass_CheckPassability_PassableTerrain
0x4891af	GetTotalDamage_NegativeDamageModifiers1
0x48922d	GetTotalDamage_NegativeDamageModifiers2
0x489286	MapClass_DamageArea
0x4893c3	MapClass_DamageArea_DamageAir
0x489416	MapClass_DamageArea_CheckHeight_1
0x489430	MapClass_DamageArea_Cylinder_1
0x4894c1	MapClass_DamageArea_Cylinder_2
0x489671	Damage_at_Cell_Update_Veinhole
0x4896bf	DamageArea_DamageItemsFix1
0x4896ec	Explosion_Damage_DamageSelf
0x489710	MapClass_DamageArea_CheckHeight_2
0x48979c	MapClass_DamageArea_Cylinder_3
0x4897c3	MapClass_DamageArea_Cylinder_4
0x48985a	MapClass_DamageArea_Cylinder_5
0x4898bf	MapClass_DamageArea_Cylinder_6
0x489968	Explosion_Damage_PenetratesIronCurtain
0x4899b3	DamageArea_DamageItemsFix2
0x4899da	MapClass_DamageArea_DamageUnderGround
0x489a1b	DamageArea_DamageBuilding_SkipVanillaBuildingDamage
0x489b49	MapClass_DamageArea_Rocker
0x489bdb	DamageArea_RockerItemsFix1
0x489e47	DamageArea_RockerItemsFix2
0x48a444	AreaDamage_Particle_LightFlashSet
0x48a47e	AreaDamage_Particle_LightFlashUnset
0x48a4f3	SelectDamageAnimation_NegativeZeroDamage
0x48a551	WarheadTypeClass_AnimList_SplashList
0x48a5b3	SelectDamageAnimation_CritAnim
0x48a5bd	SelectDamageAnimation_PickRandom
0x48a62e	DoFlash_CombatLightOptions
0x48ce85	MainGame_ShowBriefing
0x48dc90	MapClass_UnselectAll_ClearLimboLaunchers
0x4a25e0	CreditsClass_GraphicLogic_HarvesterCounter
0x4a26e8	CreditClass_AI_SmoothDisable
0x4a2729	CreditClass_AI_CreditsStepClamp
0x4a757b	DiskLaser_Circle
0x4a7696	DiskLaser_Update_ActivateMainBeam_Tracking
0x4a8f3e	DisplayClass_BuildingProximityCheck_BeforeChecks
0x4a8fd7	DisplayClass_BuildingProximityCheck_BuildArea
0x4aac92	TacticalGadgetClass_Action_ResetMessageColumnStatus
0x4ac534	DisplayClass_ComputeStartPosition_IllegalCoords
0x4ac9b2	MouseClass_ToggleBeaconMode_AllUsed
0x4ad097	DisplayClass_ReadIni_LoadVeinholeArt
0x4ade55	Sub_4ADCD0_RevealToAll_UpdateSight
0x4ae51e	DisplayClass_GetToolTip_HelpText
0x4ae670	DisplayClass_GetToolTip_EnemyUIName
0x4ae95e	DisplayClass_sub_4AE750_DisallowBuildingNonAttackPlanning
0x4b079d	DriveLocomotionClass_Process_MakesWake
0x4b08ef	DriveLocomotionClass_Process_CheckUnload
0x4b1146	SomeLocomotionClass_WhileMoving_SkipCrushSlowDown
0x4b1150	DriveLocomotionClass_WhileMoving_CrushSlowdown
0x4b19f7	DriveLocomotionClass_WhileMoving_CrushTilt
0x4b3df0	LocomotionClass_Process_DamagedSpeedMultiplier
0x4b5b70	DroppodLocomotionClass_ILoco_Process
0x4b607d	DroppodLocomotionClass_ILoco_MoveTo
0x4c1e42	EBolt_CTOR
0x4c1f33	EBolt_Draw_Colors
0x4c20bc	EBolt_DrawArcs
0x4c24c3	EBolt_DrawFirst_Color
0x4c25d0	EBolt_DrawSecond_Color
0x4c26d5	EBolt_DrawThird_Color
0x4c285d	EBolt_DrawAll_BurstIndex
0x4c2951	EBolt_DTOR
0x4c299f	EBolt_DrawAll_EndOfLife
0x4c2a02	EBolt_DestroyVector
0x4c6185	EvadeClass_CarryOverShit_Globals
0x4c6217	EvadeClass_DoShit_Globals
0x4c6cc8	Networking_RespondToEvent
0x4c6cf0	EventClass_RespondToEvent_CheckControllability
0x4c6f55	EventClass_Execute_Sell
0x4c72f2	EventClass_Execute_AircraftAreaGuard_Unlink
0x4c7403	EventClass_Execute_AircraftAreaGuard
0x4c7462	EventClass_Execute_MegaMission_MoveCommand
0x4c7512	EventClass_Execute_StopCommand
0x4c75da	EventClass_RespondToEvent_Stop
0x4c77e4	EventClass_Execute_DeployCommand
0x4c9300	FacingClass_Set_SyncLog
0x4c9c7b	FactoryClass_QueueProduction_ForceCheckBuilding
0x4ca07a	FactoryClass_AbandonProduction_Phobos
0x4ca0a1	FactoryClass_Abandon_NavalProductionFix
0x4cd54c	FlyLocomotionClass_EdgeOfTheWorldAI_Paradrop
0x4cd797	FlyLocomotionClass_CrashDescent_OffMap
0x4cda78	FlyLocomotionClass_MovementAI_SpeedModifiers
0x4ce42a	FlyLocomotionClass_StateUpdate_NoLanding
0x4ce4bf	FlyLocomotionClass_4CE4B0_SpeedModifiers
0x4ceb59	FlyLocomotionClass_ProcessLanding_ForceDropship
0x4ceb7e	FlyLocomotionClass_ProcessLanding_DropshipAnim
0x4cec31	FlyLocomotionClass_ProcessLanding_CarryallAnim
0x4cf190	FlyLocomotionClass_FlightUpdate_SetPrimaryFacing
0x4cf31c	FlyLocomotionClass_FlightUpdate_LandingDir
0x4cf3d0	FlyLocomotionClass_FlightUpdate_SetFlightLevel
0x4cf3f9	FlyLocomotionClass_FlightUpdate_FixFlightLevel
0x4cf68d	FlyLocomotionClass_DrawMatrix_OnAirport
0x4cf8b1	FlyLocomotionClass_Draw_Point_NoWobbles
0x4d4203	FootClass_MissionMove_EndCheckFix1
0x4d4221	FootClass_MissionMove_EndCheckFix2
0x4d4b43	FootClass_Mission_Capture
0x4d4cd3	FootClass_Mission_Eaten_Grinding
0x4d580b	FootClass_ApproachTarget_DeployToFire
0x4d5fbd	FootClass_ApproachTarget_BeforeSearching
0x4d62c0	FootClass_ApproachTarget_CheckArcCell
0x4d6874	FootClass_ApproachTarget_NextRadius
0x4d6d34	FootClass_MissionAreaGuard_Miner
0x4d6f66	FootClass_ElectricAssultFix_SetWeaponType
0x4d6fe1	FootClass_ElectricAssultFix2
0x4d7221	FootClass_Unlimbo_LaserTrails
0x4d73de	FootClass_ReceiveDamage_RemoveParasite
0x4d7431	FootClass_ReceiveDamage_DyingFix
0x4d7493	FootClass_ReceiveDamage_Nonprovocative
0x4d77bd	FootClass_ObjectClickedAction_NoMove
0x4d8606	FootClass_UpdatePosition_Sensors
0x4d8f40	FootClass_OverrideMission_SyncLog
0x4d92bf	FootClass_Mission_Enter_CheckLink
0x4d9510	FootClass_SetDestination_OpenToppedFireWhileMoving
0x4d962b	FootClass_SetDestination_RecycleFLH
0x4d9a1b	FootClass_PointerExpired_RemoveDestination
0x4d9f7b	FootClass_Sell
0x4da230	FootClass_CanBeRecruited
0x4da54e	FootClass_AI
0x4da59f	FootClass_AI_Radiation
0x4da8a0	FootClass_Update_AfterLocomotorProcess
0x4da9f3	FootClass_AI_DeployToLand
0x4dad06	FootClass_AI_IsCrashing_VoiceAndSound
0x4db218	FootClass_GetMovementSpeed_SpeedMultiplier
0x4db36c	FootClass_Limbo_RemoveSensors
0x4db874	FootClass_SetLocation_Extra
0x4dbee7	FootClass_SetOwningHouse_RemoveSensors
0x4dcf86	FootClass_FindTiberium_SubterraneanHarvester
0x4ddb23	FootClass_FindWeeds_SubterraneanHarvester
0x4ddd66	FootClass_IsLandZoneClear_ReplaceHardcode
0x4de722	FootClass_LeaveTransport
0x4de839	FootClass_AddSensorsAt_Record
0x4deaee	FootClass_IronCurtain_Organics
0x4debc4	FootClass_Crash_PreplacedAircraft
0x4dec7f	FootClass_Crash_FallingDownFix
0x4decbb	FootClass_Crash_Spin
0x4defc6	FootClass_FindDock_SubterraneanHarvester
0x4df3a0	FootClass_UpdateAttackMove_SelectNewTarget
0x4df3a6	FootClass_UpdateAttackMove_Follow
0x4df3ba	FootClass_UpdateAttackMove_AircraftHoldAttackMoveTarget1
0x4df410	FootClass_UpdateAttackMove_TargetAcquired
0x4df42a	FootClass_UpdateAttackMove_AircraftHoldAttackMoveTarget2
0x4df4a5	FootClass_UpdateAttackMove_SetTarget
0x4df4db	TechnoClass_RefreshMegaMission_CheckMissionFix
